Longitude	Latitude	Potential Vorticity Q [10~^-~^1~^2 m~^-~^1 s~^-~^1] @ Depth [m]=500
-152.500000	-71.500000	8.59812
-151.500000	-71.500000	7.81119
-150.500000	-71.500000	9.01068
-149.500000	-71.500000	10.22785
-148.500000	-71.500000	12.03280
-147.500000	-71.500000	13.99479
-146.500000	-71.500000	18.32939
-145.500000	-71.500000	19.65655
-144.500000	-71.500000	20.29574
-143.500000	-71.500000	21.79825
-142.500000	-71.500000	22.37444
-141.500000	-71.500000	23.10212
-140.500000	-71.500000	22.32714
-139.500000	-71.500000	23.03863
-138.500000	-71.500000	21.99458
-137.500000	-71.500000	22.61773
-136.500000	-71.500000	22.49863
-135.500000	-71.500000	24.09026
-134.500000	-71.500000	25.12015
-133.500000	-71.500000	26.45638
-132.500000	-71.500000	28.04911
-131.500000	-71.500000	29.08246
-130.500000	-71.500000	29.12195
-129.500000	-71.500000	29.14447
-128.500000	-71.500000	27.78675
-127.500000	-71.500000	25.19476
-126.500000	-71.500000	23.03689
-125.500000	-71.500000	23.14818
-124.500000	-71.500000	23.22606
-123.500000	-71.500000	24.06326
-122.500000	-71.500000	23.64242
-121.500000	-71.500000	25.67795
-120.500000	-71.500000	22.51021
-119.500000	-71.500000	25.24401
-118.500000	-71.500000	26.24050
-117.500000	-71.500000	29.47599
-116.500000	-71.500000	29.02811
-115.500000	-71.500000	29.93819
-114.500000	-71.500000	26.53769
-113.500000	-71.500000	23.74710
-112.500000	-71.500000	21.04486
-111.500000	-71.500000	19.35135
-110.500000	-71.500000	17.71748
-109.500000	-71.500000	21.29947
-108.500000	-71.500000	28.06676
-107.500000	-71.500000	13.56583
-106.500000	-71.500000	7.70872
-105.500000	-71.500000	6.57230
-104.500000	-71.500000	1.97907
-103.500000	-71.500000	4.20534
-102.500000	-71.500000	4.11885
-101.500000	-71.500000	6.36171
-99.500000	-71.500000	19.55249
-93.500000	-71.500000	8.54635
-92.500000	-71.500000	4.14801
-91.500000	-71.500000	5.75202
-90.500000	-71.500000	6.00690
-89.500000	-71.500000	5.53665
-88.500000	-71.500000	4.29099
-87.500000	-71.500000	6.05015
-86.500000	-71.500000	6.83094
-85.500000	-71.500000	6.01349
-84.500000	-71.500000	8.81226
-77.500000	-71.500000	0.00027
-57.500000	-71.500000	1.50574
-56.500000	-71.500000	1.24691
-55.500000	-71.500000	5.39195
-54.500000	-71.500000	0.00243
-53.500000	-71.500000	2.10618
-52.500000	-71.500000	0.03306
-51.500000	-71.500000	2.25686
-50.500000	-71.500000	5.94500
-49.500000	-71.500000	6.60737
-48.500000	-71.500000	11.64316
-47.500000	-71.500000	14.43375
-46.500000	-71.500000	1.22743
-45.500000	-71.500000	0.78712
-44.500000	-71.500000	1.85394
-43.500000	-71.500000	2.01972
-42.500000	-71.500000	2.09452
-41.500000	-71.500000	2.42315
-40.500000	-71.500000	1.59010
-39.500000	-71.500000	0.98436
-38.500000	-71.500000	1.58890
-37.500000	-71.500000	0.95975
-36.500000	-71.500000	1.31720
-35.500000	-71.500000	0.79976
-34.500000	-71.500000	2.12939
-33.500000	-71.500000	2.27599
-32.500000	-71.500000	0.82773
-31.500000	-71.500000	0.81158
-30.500000	-71.500000	0.45011
-29.500000	-71.500000	2.08026
-28.500000	-71.500000	2.31403
-27.500000	-71.500000	1.92333
-26.500000	-71.500000	1.14748
-25.500000	-71.500000	1.93700
-24.500000	-71.500000	2.96933
-23.500000	-71.500000	2.68692
-22.500000	-71.500000	2.47738
-21.500000	-71.500000	1.55035
-20.500000	-71.500000	1.07898
-19.500000	-71.500000	0.41466
-18.500000	-71.500000	0.51037
-17.500000	-71.500000	0.41475
-16.500000	-71.500000	0.00003
-15.500000	-71.500000	0.03149
-14.500000	-71.500000	0.33378
169.500000	-70.500000	4.60670
170.500000	-70.500000	6.41757
171.500000	-70.500000	3.72278
172.500000	-70.500000	6.07239
173.500000	-70.500000	1.31266
-185.500000	-70.500000	0.52474
-184.500000	-70.500000	0.44720
-183.500000	-70.500000	0.25277
-182.500000	-70.500000	0.49025
-181.500000	-70.500000	4.66012
-180.500000	-70.500000	10.82126
-179.500000	-70.500000	19.20681
-178.500000	-70.500000	22.14733
-177.500000	-70.500000	22.24765
-176.500000	-70.500000	22.33397
-175.500000	-70.500000	21.65062
-174.500000	-70.500000	18.89741
-173.500000	-70.500000	15.81516
-172.500000	-70.500000	11.68696
-171.500000	-70.500000	10.19006
-170.500000	-70.500000	8.59045
-169.500000	-70.500000	7.80069
-168.500000	-70.500000	7.88043
-167.500000	-70.500000	8.30503
-166.500000	-70.500000	8.69672
-165.500000	-70.500000	9.62947
-164.500000	-70.500000	8.96445
-163.500000	-70.500000	8.33033
-162.500000	-70.500000	8.13786
-161.500000	-70.500000	9.17086
-160.500000	-70.500000	8.46139
-159.500000	-70.500000	8.63626
-158.500000	-70.500000	8.26132
-157.500000	-70.500000	8.62431
-156.500000	-70.500000	8.60365
-155.500000	-70.500000	8.77471
-154.500000	-70.500000	8.27472
-153.500000	-70.500000	8.30997
-152.500000	-70.500000	7.85346
-151.500000	-70.500000	8.22829
-150.500000	-70.500000	8.77653
-149.500000	-70.500000	10.04632
-148.500000	-70.500000	11.61670
-147.500000	-70.500000	13.50185
-146.500000	-70.500000	15.16959
-145.500000	-70.500000	16.57585
-144.500000	-70.500000	17.54318
-143.500000	-70.500000	17.88858
-142.500000	-70.500000	18.65372
-141.500000	-70.500000	19.51691
-140.500000	-70.500000	19.61521
-139.500000	-70.500000	20.22490
-138.500000	-70.500000	20.61450
-137.500000	-70.500000	21.50291
-136.500000	-70.500000	22.18800
-135.500000	-70.500000	22.85986
-134.500000	-70.500000	23.75675
-133.500000	-70.500000	24.62088
-132.500000	-70.500000	25.27601
