,500m<x<1000m,500m<x<1000m & east of 140W
cal.age,D14C.Shallow.Pacific.North,D14C.Shallow.Pacific.North.East
6960,-43.71878677,-23.16086817
6970,-43.5822568,-23.04165539
6980,-43.4872783,-22.96647384
6990,-43.40581895,-22.89867916
7000,-43.2955495,-22.78807898
7010,-43.1337179,-22.60895773
7020,-42.91958797,-22.36250429
7030,-42.65466952,-22.05560576
7040,-42.36634906,-21.72384994
7050,-42.12005715,-21.44027628
7060,-41.94484062,-21.23313479
7070,-41.7896953,-21.04388123
7080,-41.61278282,-20.82937403
7090,-41.42733958,-20.60992543
7100,-41.26434349,-20.42547293
7110,-41.14398599,-20.30512984
7120,-41.08502903,-20.27726059
7130,-41.1457003,-20.40613779
7140,-41.41657667,-20.77417409
7150,-41.86356167,-21.3150337
7160,-42.22229708,-21.72026612
7170,-42.27981042,-21.76301717
7180,-42.0948311,-21.52925498
7190,-41.83816515,-21.22579443
7200,-41.63118109,-20.99716404
7210,-41.54190622,-20.92170377
7220,-41.60141564,-21.02991298
7230,-41.79933655,-21.30032657
7240,-42.08286214,-21.66192458
7250,-42.36690125,-22.01093935
7260,-42.55952167,-22.24395703
7270,-42.62777836,-22.33075805
7280,-42.61682436,-22.3301826
7290,-42.59831395,-22.32669164
7300,-42.6374203,-22.3900021
7310,-42.75291229,-22.5317354
7320,-42.87794979,-22.67088405
7330,-42.91876698,-22.70624256
7340,-42.86611305,-22.63466353
7350,-42.80658039,-22.55733841
7360,-42.78800676,-22.53055659
7370,-42.74660636,-22.49159899
7380,-42.72840669,-22.50171983
7390,-42.84198049,-22.68553193
7400,-43.11658037,-23.06514268
7410,-43.57664895,-23.6418518
7420,-44.13544801,-24.29485514
7430,-44.40855267,-24.60173721
7440,-44.31594984,-24.501168
7450,-44.23205981,-24.42042167
7460,-44.28276079,-24.49267197
7470,-44.38200972,-24.61669575
7480,-44.45558041,-24.71207191
7490,-44.50755471,-24.78424626
7500,-44.61140953,-24.90848553
7510,-44.74559087,-25.05632887
7520,-44.73016746,-25.04116659
7530,-44.59050285,-24.9138844
7540,-44.59813588,-24.98082707
7550,-44.8706854,-25.35484032
7560,-45.29569792,-25.88803351
7570,-45.66118126,-26.33507582
7580,-45.82675913,-26.54744946
7590,-45.84031361,-26.58948531
7600,-45.84794805,-26.62570807
7610,-45.89527162,-26.70360978
7620,-45.88823346,-26.72264733
7630,-45.81352818,-26.67786031
7640,-45.78724041,-26.70114507
7650,-45.87490407,-26.85734544
7660,-46.04017717,-27.09364131
7670,-46.18672657,-27.294413
7680,-46.22860936,-27.36363768
7690,-46.15191048,-27.29122727
7700,-45.99806559,-27.12982161
7710,-45.82078977,-26.9436555
7720,-45.66409325,-26.78250866
7730,-45.54369255,-26.66170576
7740,-45.44295434,-26.5612484
7750,-45.33024315,-26.44825777
7760,-45.20443697,-26.32530831
7770,-45.12147592,-26.25222567
7780,-45.10925123,-26.25214142
7790,-45.09259804,-26.24007108
7800,-44.96783915,-26.1102348
7810,-44.81109426,-25.95538574
7820,-44.7864906,-25.951598
7830,-44.85372569,-26.04437174
7840,-44.8809837,-26.08574748
7850,-44.85041877,-26.05666885
7860,-44.83161082,-26.03146288
7870,-44.7864546,-25.96947334
7880,-44.60962593,-25.76964019
7890,-44.37646055,-25.5345062
7900,-44.31561707,-25.52037786
7910,-44.50341839,-25.79557611
7920,-44.80721188,-26.19509885
7930,-45.07745667,-26.54669156
7940,-45.19169473,-26.72063556
7950,-45.21002615,-26.79040488
7960,-45.2676169,-26.90335571
7970,-45.31193849,-26.99957622
7980,-45.26746144,-27.00180055
7990,-45.19605407,-26.98351192
8000,-45.2067593,-27.05874484
8010,-45.29464836,-27.20720079
8020,-45.33693827,-27.28258212
8030,-45.23643286,-27.17676055
8040,-44.99425428,-26.89669423
8050,-44.65725155,-26.50154123
8060,-44.2721403,-26.05020574
8070,-43.88344137,-25.59845767
8080,-43.53073694,-25.19485572
8090,-43.2437743,-24.87431075
8100,-43.03615997,-24.65115414
8110,-42.89822747,-24.51345916
8120,-42.79267752,-24.42159294
8130,-42.70356639,-24.36263904
8140,-42.66996381,-24.38220757
8150,-42.74035402,-24.52817188
8160,-42.91811056,-24.78999516
