Longitude	Latitude	Potential Vorticity Q [10~^-~^1~^2 m~^-~^1 s~^-~^1] @ Depth [m]=first
-109.500000	-72.500000	34.41032
-108.500000	-72.500000	68.67590
-107.500000	-72.500000	74.16426
-106.500000	-72.500000	105.35049
-105.500000	-72.500000	108.99610
-104.500000	-72.500000	166.73997
-85.500000	-72.500000	782.35677
-84.500000	-72.500000	721.74405
-83.500000	-72.500000	601.11567
-82.500000	-72.500000	485.81318
-81.500000	-72.500000	432.73554
-80.500000	-72.500000	318.19846
-58.500000	-72.500000	14.17474
-57.500000	-72.500000	4.87468
-56.500000	-72.500000	20.18978
-55.500000	-72.500000	20.63293
-54.500000	-72.500000	25.79781
-53.500000	-72.500000	38.63214
-52.500000	-72.500000	39.48287
-51.500000	-72.500000	28.28645
-50.500000	-72.500000	43.35072
-49.500000	-72.500000	34.76380
-48.500000	-72.500000	40.92676
-47.500000	-72.500000	31.65318
-46.500000	-72.500000	20.65650
-45.500000	-72.500000	109.32782
-44.500000	-72.500000	202.67184
-43.500000	-72.500000	344.23232
-42.500000	-72.500000	481.08498
-41.500000	-72.500000	596.85073
-40.500000	-72.500000	689.69899
-39.500000	-72.500000	794.84978
-38.500000	-72.500000	883.00480
-37.500000	-72.500000	954.98220
-36.500000	-72.500000	1023.55765
-35.500000	-72.500000	1140.03248
-34.500000	-72.500000	1175.52499
-33.500000	-72.500000	1193.32616
-32.500000	-72.500000	1203.49807
-31.500000	-72.500000	1202.76936
-30.500000	-72.500000	1207.09433
-29.500000	-72.500000	1196.90154
-28.500000	-72.500000	1220.90151
-27.500000	-72.500000	1223.88005
-26.500000	-72.500000	1223.76436
-25.500000	-72.500000	1227.50047
-24.500000	-72.500000	1243.07367
-23.500000	-72.500000	1245.36571
-22.500000	-72.500000	1238.52019
-21.500000	-72.500000	1150.74120
-20.500000	-72.500000	923.73023
-19.500000	-72.500000	785.25454
171.500000	-71.500000	104.00911
172.500000	-71.500000	107.76478
173.500000	-71.500000	97.16057
-185.500000	-71.500000	92.30389
-184.500000	-71.500000	84.74444
-183.500000	-71.500000	82.18298
-182.500000	-71.500000	80.44594
-181.500000	-71.500000	76.22401
-180.500000	-71.500000	80.34778
-179.500000	-71.500000	67.16639
-178.500000	-71.500000	66.49718
-177.500000	-71.500000	76.01123
-176.500000	-71.500000	74.20890
-175.500000	-71.500000	71.40929
-174.500000	-71.500000	71.39210
-173.500000	-71.500000	68.49847
-172.500000	-71.500000	62.53866
-171.500000	-71.500000	62.82387
-170.500000	-71.500000	72.61109
-169.500000	-71.500000	80.30537
-168.500000	-71.500000	89.42798
-167.500000	-71.500000	92.36088
-166.500000	-71.500000	99.58924
-165.500000	-71.500000	141.47084
-164.500000	-71.500000	152.28538
-163.500000	-71.500000	121.90246
-162.500000	-71.500000	119.01059
-161.500000	-71.500000	114.29967
-160.500000	-71.500000	107.14857
-159.500000	-71.500000	105.24600
-158.500000	-71.500000	129.13539
-157.500000	-71.500000	117.61423
-156.500000	-71.500000	109.86952
-155.500000	-71.500000	95.66195
-154.500000	-71.500000	86.80059
-153.500000	-71.500000	76.71970
-152.500000	-71.500000	69.27523
-151.500000	-71.500000	58.02804
-150.500000	-71.500000	40.41879
-149.500000	-71.500000	24.63305
-148.500000	-71.500000	8.28028
-147.500000	-71.500000	9.42970
-146.500000	-71.500000	11.94509
-145.500000	-71.500000	14.11640
-144.500000	-71.500000	21.49775
-143.500000	-71.500000	26.12316
-142.500000	-71.500000	33.29958
-141.500000	-71.500000	42.33022
-140.500000	-71.500000	53.10496
-139.500000	-71.500000	77.56881
-138.500000	-71.500000	101.81556
-137.500000	-71.500000	127.68018
-136.500000	-71.500000	153.13343
-135.500000	-71.500000	159.32873
-134.500000	-71.500000	151.04483
-133.500000	-71.500000	137.64411
-132.500000	-71.500000	116.89736
-131.500000	-71.500000	97.22610
-130.500000	-71.500000	106.85707
-129.500000	-71.500000	108.18321
-128.500000	-71.500000	120.93451
-127.500000	-71.500000	143.62101
-126.500000	-71.500000	181.05952
-125.500000	-71.500000	226.28455
-124.500000	-71.500000	268.76051
-123.500000	-71.500000	273.28750
-122.500000	-71.500000	270.86475
-121.500000	-71.500000	245.94522
-120.500000	-71.500000	218.67675
-119.500000	-71.500000	170.89232
-118.500000	-71.500000	134.89415
-117.500000	-71.500000	105.41216
-116.500000	-71.500000	100.37937
